ref-hip,ref-knee,ref-ankle,link-hip,link-knee,link-ankle,motor-hip,motor-knee,motor-ankle,tau-m1,tau-m2,tau-m3,tau-dyn-1,tau-dyn-2,tau-dyn-3
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,0.0009,-0.0018,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,0,0.0039,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0099,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,0,-0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,0.0009,0.0039,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,0,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,-0.0009,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,0,0.0018,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,-0.0018,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,0.0009,-0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,0,0.0018,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.003,0,0.0039,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,0.0009,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,-0.0010472,0,0,0,0.0018,0.0018,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,-0.0010472,0,0,0.0048,-0.0009,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,-0.0010472,0,0,0.0018,-0.0018,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,-0.0010472,0,0,0.0039,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,-0.0010472,0,0,0.0039,0,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,-0.0010472,0,0,0.0018,0,0.006,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,-0.0010472,0,0,0.0039,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,-0.0010472,0,0,0.0108,-0.0009,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,0,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,0,0.0048,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.003,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.003,-0.0018,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,0,0.0018,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0078,0.0009,0.0039,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,-0.003,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,0,-0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0069,0,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.003,0.0009,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,0.0018,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.003,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0069,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,-0.0009,0.0018,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0.0010472,0,0,0.0009,0,0.0048,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,-0.0009,0,0.006,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.006,0,0.0039,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0048,0,0.0018,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,-0.003,0.0048,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,0.0009,0.006,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,0,-0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0048,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,-0.0039,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0048,0,-0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.006,-0.003,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0108,0,0.0018,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,0,0.0039,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,0,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0048,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0069,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0048,0,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0078,0,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.006,0,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,0,0.0018,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.003,0,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0069,-0.0018,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,-0.0018,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,0.0009,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.003,0,-0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0048,0,-0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0078,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,-0.0009,-0.0018,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.003,-0.0009,-0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0048,-0.0018,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0048,-0.0009,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,-0.0018,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.006,-0.0018,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,0,0.0018,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,0,0.0018,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,-0.0009,0.006,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0048,-0.0009,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.006,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0069,-0.003,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,0,-0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.003,0,-0.0018,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,0,-0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0048,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,-0.0018,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,-0.0009,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,0,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,0,0.0018,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0099,-0.0018,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.003,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,0,-0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0048,0.0018,-0.0039,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,0.0018,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0048,0.0018,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0069,0,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,-0.0009,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.003,-0.0009,0.0018,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.003,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,0,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,-0.0018,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,-0.0018,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,0,0.0039,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,0.0009,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,0.0009,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.003,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,-0.0009,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.003,-0.0039,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0048,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,0,0.0039,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,-0.0009,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.003,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,0.0009,0.0039,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,-0.0018,0.0039,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,0,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,-0.0009,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,-0.0009,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0048,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,-0.0009,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0009,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,-0.0009,-0.0018,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,0,0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,0.0018,-0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,-0.0009,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0069,-0.0009,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0018,-0.0018,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.006,-0.0018,-0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0048,-0.0009,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,0,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0078,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0069,-0.003,-0.0018,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0048,0,0.0018,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.006,0,0,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,-0.0018,0.0009,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0.0039,0,-0.003,0.93789,-1.34441,-0.493822
-0.0710371,-0.154022,0.139999,-0.071426,-0.151624,0.141654,0,0,0,0,0,0.003,0.93789,-1.34441,-0.493822
